"fish.species","fish.id","fish.weight.g","date","algal.species","delta.weight.g","control_value","adjusted_weight","total_consumption","proportional_consumption","bootstrap_id"
"Bluespine Unicornfish","U1",49,"2024-05-20","G.salicornia.delta.wt.g",-1.83,0,-1.83,-5.05,0.362376237623762,1
"Sailfin tang","ST1",80,"2024-05-09","G.salicornia.delta.wt.g",-0.31,-0.12,-0.19,-3.44,0.0552325581395349,1
"Sailfin tang","ST2",21,"2024-05-09","G.salicornia.delta.wt.g",0.0899999999999999,-0.12,0,-1.42,0,1
"Sailfin tang","ST3",37,"2024-05-11","G.salicornia.delta.wt.g",-0.31,0.17,-0.48,-4.03,0.119106699751861,1
"Sailfin tang","ST4",17,"2024-05-11","G.salicornia.delta.wt.g",-0.34,0.02,-0.36,-2.02,0.178217821782178,1
"Sailfin tang","ST5",12,"2024-05-11","G.salicornia.delta.wt.g",-0.13,0.17,-0.3,-1.32,0.227272727272727,1
"Sailfin tang","ST6",22,"2024-05-11","G.salicornia.delta.wt.g",-0.25,0.17,-0.42,-3.23,0.130030959752322,1
"Sailfin tang","ST7",31,"2024-05-11","G.salicornia.delta.wt.g",0,0.17,-0.17,-1.74,0.0977011494252874,1
"Sailfin tang","ST8",64,"2024-05-16","G.salicornia.delta.wt.g",-0.6,0.12,-0.72,-3.3,0.218181818181818,1
"Sailfin tang","ST9",96,"2024-05-16","G.salicornia.delta.wt.g",-0.81,0.0899999999999999,-0.9,-3.73,0.241286863270777,1
"Sailfin tang","ST10",40,"2024-05-22","G.salicornia.delta.wt.g",-0.39,0.02,-0.41,-3.47,0.118155619596542,1
"Convict Tang","CT1",31,"2024-05-09","G.salicornia.delta.wt.g",0.0800000000000001,-0.00999999999999979,0,-2.46,0,1
"Convict Tang","CT10",74,"2024-05-16","G.salicornia.delta.wt.g",0.0899999999999999,0.0899999999999999,0,-2.76,0,1
"Convict Tang","CT4",26,"2024-05-11","G.salicornia.delta.wt.g",-0.49,0.17,-0.66,-3.7,0.178378378378378,1
"Convict Tang","CT7",29,"2024-05-11","G.salicornia.delta.wt.g",0.12,0.02,0,-1.09,0,1
"Convict Tang","CT8",30,"2024-05-11","G.salicornia.delta.wt.g",-0.1,0.17,-0.27,-0.58,0.46551724137931,1
"Yellowfin Surgeonfish","YF1",22,"2024-05-09","G.salicornia.delta.wt.g",-0.0700000000000003,-0.12,0,-0.92,0,1
"Yellowfin Surgeonfish","YF2",32,"2024-05-09","G.salicornia.delta.wt.g",-0.0699999999999998,-0.12,0,-2.42,0,1
"Yellowfin Surgeonfish","YF3",35,"2024-05-11","G.salicornia.delta.wt.g",-0.43,0.02,-0.45,-1.57,0.286624203821656,1
"Yellowfin Surgeonfish","YF4",49,"2024-05-11","G.salicornia.delta.wt.g",-0.0800000000000001,0.02,-0.1,-0.54,0.185185185185185,1
"Yellowfin Surgeonfish","YF5",26,"2024-05-11","G.salicornia.delta.wt.g",0.19,0.17,0,-0.88,0,1
"Yellowfin Surgeonfish","YF6",68,"2024-05-22","G.salicornia.delta.wt.g",-0.4,-0.02,-0.38,-1.35,0.281481481481481,1
"Yellowfin Surgeonfish","YF7",16,"2024-05-22","G.salicornia.delta.wt.g",-0.27,-0.02,-0.25,-1.25,0.2,1
"Yellowfin Surgeonfish","YF8",73,"2024-05-24","G.salicornia.delta.wt.g",0.13,0.1,0,-2.95,0,1
"Bullethead Parrotfish","BH1",56,"2024-05-09","G.salicornia.delta.wt.g",-0.32,-0.12,-0.2,-1.81,0.110497237569061,1
"Bullethead Parrotfish","BH2",42,"2024-05-18","G.salicornia.delta.wt.g",-0.00999999999999979,-0.06,0,-0.23,0,1
"Bullethead Parrotfish","BH3",55,"2024-05-20","G.salicornia.delta.wt.g",-0.59,0,-0.59,-1.81,0.325966850828729,1
"Bullethead Parrotfish","BH4",49,"2024-05-20","G.salicornia.delta.wt.g",-1.22,-0.02,-1.2,-2.83,0.424028268551237,1
"Bullethead Parrotfish","BH5",43,"2024-05-20","G.salicornia.delta.wt.g",-0.21,-0.14,-0.07,-1.99,0.0351758793969849,1
"Bullethead Parrotfish","BH6",56,"2024-05-20","G.salicornia.delta.wt.g",-1.44,-0.02,-1.42,-1.74,0.816091954022989,1
"Bullethead Parrotfish","BH7",48,"2024-05-20","G.salicornia.delta.wt.g",-0.74,0,-0.74,-4.26,0.173708920187793,1
"Bullethead Parrotfish","BH8",69,"2024-05-22","G.salicornia.delta.wt.g",-1.71,0.02,-1.73,-4.02,0.430348258706468,1
"Palenose Parrotfish","PN1",47,"2024-05-11","G.salicornia.delta.wt.g",-0.17,0.02,-0.19,-1.45,0.131034482758621,1
"Palenose Parrotfish","PN2",43,"2024-05-22","G.salicornia.delta.wt.g",-0.21,-0.12,-0.09,-2.38,0.0378151260504202,1
"Palenose Parrotfish","PN3",31,"2024-05-22","G.salicornia.delta.wt.g",-0.2,-0.12,-0.08,-1.1,0.0727272727272727,1
"Palenose Parrotfish","PN4",16,"2024-05-22","G.salicornia.delta.wt.g",-0.26,-0.02,-0.24,-0.79,0.30379746835443,1
"Bluespine Unicornfish","U1",49,"2024-05-20","A.spicifera.delta.wt.g",-2.59,-0.0899999999999999,-2.5,-5.05,0.495049504950495,1
"Sailfin tang","ST1",80,"2024-05-09","A.spicifera.delta.wt.g",-2.82,-0.12,-2.7,-3.44,0.784883720930233,1
"Sailfin tang","ST2",21,"2024-05-09","A.spicifera.delta.wt.g",-1.47,-0.12,-1.35,-1.42,0.950704225352113,1
"Sailfin tang","ST3",37,"2024-05-11","A.spicifera.delta.wt.g",-2.76,0.04,-2.8,-4.03,0.694789081885856,1
"Sailfin tang","ST4",17,"2024-05-11","A.spicifera.delta.wt.g",-1.52,0.04,-1.56,-2.02,0.772277227722772,1
"Sailfin tang","ST5",12,"2024-05-11","A.spicifera.delta.wt.g",-0.97,0.04,-1.01,-1.32,0.765151515151515,1
"Sailfin tang","ST6",22,"2024-05-11","A.spicifera.delta.wt.g",-2.23,0.04,-2.27,-3.23,0.702786377708978,1
"Sailfin tang","ST7",31,"2024-05-11","A.spicifera.delta.wt.g",-1.43,-0.0499999999999998,-1.38,-1.74,0.793103448275862,1
"Sailfin tang","ST8",64,"2024-05-16","A.spicifera.delta.wt.g",-2.07,0.18,-2.25,-3.3,0.681818181818182,1
"Sailfin tang","ST9",96,"2024-05-16","A.spicifera.delta.wt.g",-2.3,0.18,-2.48,-3.73,0.664879356568364,1
"Sailfin tang","ST10",40,"2024-05-22","A.spicifera.delta.wt.g",-2.52,-0.14,-2.38,-3.47,0.685878962536023,1
"Convict Tang","CT1",31,"2024-05-09","A.spicifera.delta.wt.g",-2.57,-0.36,-2.21,-2.46,0.898373983739837,1
"Convict Tang","CT10",74,"2024-05-16","A.spicifera.delta.wt.g",-2.6,0.0499999999999998,-2.65,-2.76,0.960144927536232,1
"Convict Tang","CT4",26,"2024-05-11","A.spicifera.delta.wt.g",-2.41,0.04,-2.45,-3.7,0.662162162162162,1
"Convict Tang","CT7",29,"2024-05-11","A.spicifera.delta.wt.g",-0.65,-0.0499999999999998,-0.6,-1.09,0.55045871559633,1
"Convict Tang","CT8",30,"2024-05-11","A.spicifera.delta.wt.g",-0.36,-0.0499999999999998,-0.31,-0.58,0.53448275862069,1
"Yellowfin Surgeonfish","YF1",22,"2024-05-09","A.spicifera.delta.wt.g",-1.28,-0.36,-0.92,-0.92,1,1
"Yellowfin Surgeonfish","YF2",32,"2024-05-09","A.spicifera.delta.wt.g",-2.36,-0.12,-2.24,-2.42,0.925619834710744,1
"Yellowfin Surgeonfish","YF3",35,"2024-05-11","A.spicifera.delta.wt.g",-0.73,0.04,-0.77,-1.57,0.490445859872611,1
"Yellowfin Surgeonfish","YF4",49,"2024-05-11","A.spicifera.delta.wt.g",-0.26,0.04,-0.3,-0.54,0.555555555555556,1
