"fish.species","algal.species","mean_response","lower_95","upper_95"
"Bluespine Unicornfish","H.discoidea.delta.wt.g",0.0503025472535707,0.0139165009940424,0.0833333333333304
"Bluespine Unicornfish","A.spicifera.delta.wt.g",0.484120222241657,0.453831041257362,0.52410901467504
"Bluespine Unicornfish","E.denticulatum.delta.wt.g",0.107993951493761,0.08880308880309,0.135416666666665
"Bluespine Unicornfish","G.salicornia.delta.wt.g",0.357583279011007,0.328793774319067,0.387711864406779
"Bullethead Parrotfish","H.discoidea.delta.wt.g",0.0743630971859527,0.0433165635285588,0.131130299267617
"Bullethead Parrotfish","A.spicifera.delta.wt.g",0.439135325806018,0.388496681896053,0.468433478093852
"Bullethead Parrotfish","E.denticulatum.delta.wt.g",0.0338430132932083,0.0212314799607732,0.0498192607688145
"Bullethead Parrotfish","G.salicornia.delta.wt.g",0.222135200207951,0.202761613084217,0.239360975546821
"Convict Tang","H.discoidea.delta.wt.g",0.0579452678681712,0.0499597816624138,0.0699032042663068
"Convict Tang","A.spicifera.delta.wt.g",0.739195929932905,0.70196260758362,0.775431706436519
"Convict Tang","E.denticulatum.delta.wt.g",0.0154079143005244,0.00948053617270723,0.021377292668146
"Convict Tang","G.salicornia.delta.wt.g",0.0513008924982037,0.0301545733811576,0.0768158613262416
"Palenose Parrotfish","H.discoidea.delta.wt.g",0.029693838291079,0.00632234450879252,0.0835418226182766
"Palenose Parrotfish","A.spicifera.delta.wt.g",0.770288508672041,0.714567148869381,0.829417110369363
"Palenose Parrotfish","E.denticulatum.delta.wt.g",0.00698385011065222,0,0.0261015181547802
"Palenose Parrotfish","G.salicornia.delta.wt.g",0.146758553917183,0.103640379730716,0.185453729619505
"Sailfin tang","H.discoidea.delta.wt.g",0.0316746362964887,0.0227211523623423,0.0444043282862441
"Sailfin tang","A.spicifera.delta.wt.g",0.761296670004942,0.742750116288549,0.780554653904832
"Sailfin tang","E.denticulatum.delta.wt.g",0.0345060165242006,0.0247322688096753,0.0446780986454435
"Sailfin tang","G.salicornia.delta.wt.g",0.108074313680269,0.0914504330636864,0.125140407716084
"Yellowfin Surgeonfish","H.discoidea.delta.wt.g",0.0626916541260665,0.0443771497170208,0.09184239344409
"Yellowfin Surgeonfish","A.spicifera.delta.wt.g",0.689988338299086,0.658589097526735,0.720952226848337
"Yellowfin Surgeonfish","E.denticulatum.delta.wt.g",0.0257075917402075,0.0176452128428803,0.0363989012895602
"Yellowfin Surgeonfish","G.salicornia.delta.wt.g",0.0814216042976506,0.0584021404654592,0.106946626728528
