"fish.species","contrast","mean_estimate","lower_95","upper_95","p_below_0","p_above_0","prop_significant","median_p_value"
"Bluespine Unicornfish","H.discoidea.delta.wt.g - A.spicifera.delta.wt.g",-0.482440041222562,-0.602813107219791,-0.391010331733654,1,0,0,0.358494477056939
"Bluespine Unicornfish","H.discoidea.delta.wt.g - E.denticulatum.delta.wt.g",-0.114633969970864,-0.247228563212042,-0.01666134392546,1,0,0,0.992618813129377
"Bluespine Unicornfish","H.discoidea.delta.wt.g - G.salicornia.delta.wt.g",-0.384630355633251,-0.500884555120069,-0.291828602307474,1,0,0,0.570168720423794
"Bluespine Unicornfish","A.spicifera.delta.wt.g - E.denticulatum.delta.wt.g",0.367806071251698,0.316939823548903,0.409566402522925,0,1,0,0.518268207546506
"Bluespine Unicornfish","A.spicifera.delta.wt.g - G.salicornia.delta.wt.g",0.097809685589311,0.0746518656514899,0.12872462749412,0,1,0,0.983223306900803
"Bluespine Unicornfish","E.denticulatum.delta.wt.g - G.salicornia.delta.wt.g",-0.269996385662387,-0.309373854250682,-0.217794474138907,1,0,0,0.736653642928133
"Bullethead Parrotfish","H.discoidea.delta.wt.g - A.spicifera.delta.wt.g",-0.393185730334697,-0.470220826696713,-0.263593512466062,1,0,0.986,0.000312708383690574
"Bullethead Parrotfish","H.discoidea.delta.wt.g - E.denticulatum.delta.wt.g",0.086447227740506,0.00811830069111435,0.196681924123739,0.013,0.987,0,0.84383545445786
"Bullethead Parrotfish","H.discoidea.delta.wt.g - G.salicornia.delta.wt.g",-0.201913304929299,-0.275385224813197,-0.100265529933625,1,0,0.121,0.140658486811412
"Bullethead Parrotfish","A.spicifera.delta.wt.g - E.denticulatum.delta.wt.g",0.479632958075203,0.425758470675588,0.527586951093105,0,1,1,1.69103646566748e-05
"Bullethead Parrotfish","A.spicifera.delta.wt.g - G.salicornia.delta.wt.g",0.191272425405397,0.148599594260055,0.225801300591897,0,1,0,0.198216546376957
"Bullethead Parrotfish","E.denticulatum.delta.wt.g - G.salicornia.delta.wt.g",-0.288360532669805,-0.335130385701702,-0.239667515631919,1,0,0.922,0.0185171140179508
"Convict Tang","H.discoidea.delta.wt.g - A.spicifera.delta.wt.g",-0.619308301317587,-0.653532141325717,-0.577095178008128,1,0,1,1.2405371808355e-05
"Convict Tang","H.discoidea.delta.wt.g - E.denticulatum.delta.wt.g",0.117098914210941,0.08199960445635,0.158801803785089,0,1,0,0.774034153593564
