,ID,treatment,diversity,fish.presence,replicate,date,mesocosm,p1.gs.starting.wt.g.a,p1.gs.end.wt.g,p1.gs.delta.wt.g,p1.as.st.wt.g,p1.as.end.wt.g,p1.as.delta.wt.g,p1.ed.st.wt.g,p1.ed.end.wt.g,p1.ed.delta.wt.g,p2.gs.starting.wt.g,p2.gs.end.wt.g,p2.gs.delta.wt.g,p2.as.st.wt.g,p2.as.end.wt.g,p2.as.delta.wt.g,p2.ed.st.wt.g,p2.ed.end.wt.g,p2.ed.delta.wt.g,p3.gs.starting.wt.g,p3.gs.end.wt.g,p3.gs.delta.wt.g,p3.as.st.wt.g,p3.as.end.wt.g,p3.as.delta.wt.g,p3.ed.st.wt.g,p3.ed.end.wt.g,p3.ed.delta.wt.g,gs.starting.weight.total.g,gs.end.weight.total.g,gs.delta.weight.total.g,as.starting.weight.total.g,as.end.weight.total.g,as.delta.weight.total.g,ed.starting.weight.total.g,ed.end.weight.total.g,ed.delta.weight.total.g,starting.weight.total.g,end.weight.total.g,delta.weight.total.g,delta.weight.total.s,delta.weight.total.adj,manini,velifer,xanthopterus,spilurus,psittacus,naso,fish1.weight,fish1.weight.s,fish2.weight,fish2.weight.s,fish3.weight,fish3.weight.s,fish4.weight,fish4.weight.s,fish5.weight,fish5.weight.s,fish6.weight,fish6.weight.s,total.weight,total.weight.s,grouped_treatment,expected_polyculture,residual_consumption,dt_relative
1,1,manini,1,1,1,2024-05-18,5,4.18,3.86,-0.32,4,4.08,0.08,4.07,3.21,-0.86,4.15,2.58,-1.57,4.04,1.64,-2.4,4.21,4.24,0.03,4.15,3.6,-0.55,4.07,0.54,-3.53,4.26,4.18,-0.08,12.48,10.04,-2.44,12.11,6.26,-5.85,12.54,11.63,-0.91,37.13,27.93,-9.2,-11.53,-13.15028249,6,0,0,0,0,0,36,14.69693846,24,10.84322404,28,12.17218441,51,19.0843614,21,9.809897532,17,8.372144029,177,74.97874987,monocultures,-15.05,3.52,-0.23
2,2,manini,1,1,2,2024-05-18,8,4.09,3.5,-0.59,4.13,0.49,-3.64,3.84,3.69,-0.15,4.15,2.58,-1.57,3.83,0.48,-3.35,4.15,3.22,-0.93,4.09,2.95,-1.14,4.05,1.38,-2.67,4.29,4.04,-0.25,12.33,9.03,-3.3,12.01,2.35,-9.66,12.28,10.95,-1.33,36.62,22.33,-14.29,-17.34,-19.64875,6,0,0,0,0,0,30,12.81861019,30,12.81861019,32,13.45434264,15,7.621991222,29,12.49679076,48,18.23605646,184,77.44640147,monocultures,-15.05,-2.29,0.15
3,3,manini,1,1,3,2024-05-21,8,3.9,3.42,-0.48,4.26,0.83,-3.43,4.21,4.21,0,4.12,4,-0.12,4.18,0.72,-3.46,4.13,4,-0.13,4.26,3.72,-0.54,4.08,0.76,-3.32,4.17,4.09,-0.08,12.28,11.14,-1.14,12.52,2.31,-10.21,12.51,12.3,-0.21,37.31,25.75,-11.56,-13.44,-15.0756701,6,0,0,0,0,0,48,18.23605646,29,12.49679076,30,12.81861019,30,12.81861019,21,9.809897532,36,14.69693846,194,80.87690359,monocultures,-15.05,1.62,-0.11
4,4,manini,1,1,4,2024-05-21,5,4.27,4.08,-0.19,4.23,0.82,-3.41,4.19,4.05,-0.14,3.96,2.72,-1.24,3.9,0.69,-3.21,4.28,3.72,-0.56,4.19,2.82,-1.37,4.3,1.21,-3.09,4.2,3.75,-0.45,12.42,9.62,-2.8,12.43,2.72,-9.71,12.67,11.52,-1.15,37.52,23.86,-13.66,-17.10,-24.43782123,6,0,0,0,0,0,60,21.55824672,28,12.17218441,16,8,26,11.51410037,32,13.45434264,17,8.372144029,179,75.07101818,monocultures,-15.05,-2.05,0.14
5,5,manini,1,1,7,2024-06-02,3,3.93,2.56,-1.37,4.26,0.34,-3.92,4.25,3.93,-0.32,4.12,2.67,-1.45,4.15,0.25,-3.9,4,3.66,-0.34,4,2.31,-1.69,4.18,0.21,-3.97,3.91,3.58,-0.33,12.05,7.54,-4.51,12.59,0.8,-11.79,12.16,11.17,-0.99,36.8,19.51,-17.29,-15.85,-16.39814815,6,0,0,0,0,0,46,17.66315881,18,8.738851891,74,25.2303799,57,20.74465143,46,17.66315881,29,12.49679076,270,102.5369916,monocultures,-15.05,-0.80,0.05
6,5,velifer,1,1,1,2024-05-18,1,4,1.55,-2.45,4,0.56,-3.44,4.13,3.57,-0.56,3.83,2.59,-1.24,4,0.53,-3.47,4.21,2.77,-1.44,3.95,3.29,-0.66,4.16,0.34,-3.82,4.17,3.75,-0.42,11.78,7.43,-4.35,12.16,1.43,-10.73,12.51,10.09,-2.42,36.45,18.95,-17.5,-26.14,-35.83564286,0,6,0,0,0,0,22,10.15820588,17,8.372144029,12,6.447419591,31,13.13775838,21,9.809897532,37,15.00207364,140,62.92749906,monocultures,-22.97,-3.18,0.14
7,6,velifer,1,1,2,2024-05-21,1,4.25,2.7,-1.55,4.14,0.21,-3.93,4.14,3.27,-0.87,4.2,2.14,-2.06,4,0.55,-3.45,4.06,2.05,-2.01,4.2,2.77,-1.43,4.12,0.58,-3.54,3.81,2.82,-0.99,12.65,7.61,-5.04,12.26,1.34,-10.92,12.01,8.14,-3.87,36.92,17.09,-19.83,-22.16,-23.77720379,0,6,0,0,0,0,40,15.90541458,31,13.13775838,80,26.7496122,22,10.15820588,17,8.372144029,21,9.809897532,211,84.1330326,monocultures,-22.97,0.81,-0.04
8,7,velifer,1,1,3,2024-05-24,1,3.83,1.18,-2.65,3.83,0.46,-3.37,4.33,2.2,-2.13,4.25,0.95,-3.3,4.22,0.31,-3.91,4.26,1.21,-3.05,3.9,2.11,-1.79,4.06,0.44,-3.62,4.11,0.72,-3.39,11.98,4.24,-7.74,12.11,1.21,-10.9,12.7,4.13,-8.57,36.79,9.58,-27.21,-25.57,-26.37597701,0,6,0,0,0,0,40,15.90541458,49,18.52025918,80,26.7496122,40,15.90541458,31,13.13775838,21,9.809897532,261,100.0283564,monocultures,-22.97,-2.60,0.11
9,8,velifer,1,1,4,2024-05-27,1,4.18,0.59,-3.59,4.16,0.29,-3.87,4.21,1.14,-3.07,4.13,0.6,-3.53,4.12,0.24,-3.88,4.21,1.17,-3.04,4.21,2.53,0.25,3.91,0.25,-3.66,3.81,0.88,-2.93,12.52,3.72,-6.87,12.19,0.78,-11.41,12.23,3.19,-9.04,36.94,7.69,-27.32,-22.98,-23.03986667,0,6,0,0,0,0,40,15.90541458,49,18.52025918,80,26.7496122,40,15.90541458,31,13.13775838,60,21.55824672,300,111.7767056,monocultures,-22.97,-0.01,0.00
10,9,velifer,1,1,5,2024-05-29,1,4.3,2.96,-1.34,4.14,0.39,-3.75,3.71,1.55,-2.16,4.19,2.86,-1.33,3.93,0.32,-3.61,3.96,2.32,-1.64,3.96,2.32,-1.64,4.28,0.32,-3.96,4.26,2.63,-1.63,12.45,8.14,-4.31,12.35,1.03,-11.32,11.93,6.5,-5.43,36.73,15.67,-21.06,-18.40,-18.56508711,0,6,0,0,0,0,75,25.48566367,70,24.20045492,39,15.60624625,23,10.50257707,37,15.00207364,43,16.79195809,287,107.5889736,monocultures,-22.97,4.57,-0.20
11,10,velifer,1,1,6,2024-05-31,1,4,1.83,-2.17,4.26,0.43,-3.83,4.11,1.75,-2.36,4.21,0.82,-3.39,3.85,0.56,-3.29,4.25,0.54,-3.71,4,1,-3,4.2,0.37,-3.83,4.3,2,-2.3,12.21,3.65,-8.56,12.31,1.36,-10.95,12.66,4.29,-8.37,37.18,9.3,-27.88,-22.55,-22.25123028,0,6,0,0,0,0,39,15.60624625,28,12.17218441,66,23.15570199,64,22.627417,40,15.90541458,80,26.7496122,317,116.2165764,monocultures,-22.97,0.42,-0.02
12,11,xanthopterus,1,1,1,2024-05-18,6,4,2.87,-1.13,4.31,2.14,-2.17,4.05,3.09,-0.96,4.25,2.24,-2.01,4,2.91,-1.09,4.13,4,-0.13,4.12,3.22,-0.9,4.07,3.95,-0.12,3.96,3.61,-0.35,12.37,8.33,-4.04,12.38,9,-3.38,12.14,10.7,-1.44,36.89,28.03,-8.86,-9.58,-10.42595349,0,0,6,0,0,0,26,11.51410037,40,15.90541458,60,21.55824672,32,13.45434264,22,10.15820588,35,14.38967659,215,86.97998678,monocultures,-7.27,-2.31,0.32
13,12,xanthopterus,1,1,2,2024-05-21,6,4.29,3,-1.29,4.07,1.37,-2.7,4,3.47,-0.53,4.3,3.62,-0.68,4,1.09,-2.91,4.25,4.04,-0.21,3.86,3.62,-0.24,4,2.92,-1.08,4.07,4.16,0.09,12.45,10.24,-2.21,12.07,5.38,-6.69,12.32,11.67,-0.65,36.84,27.29,-9.55,-10.95,-12.20277778,0,0,6,0,0,0,49,18.52025918,26,11.51410037,26,11.51410037,40,15.90541458,22,10.15820588,35,14.38967659,198,82.00175697,monocultures,-7.27,-3.68,0.51
14,13,xanthopterus,1,1,3,2024-05-27,6,3.89,4.57,0.68,4.04,2.81,-1.23,4.12,4.2,0.08,4.08,3.57,-0.51,4.23,2.09,-2.14,3.82,3.8,-0.02,3.75,3.27,-0.48,3.82,3.8,-0.02,4.1,3.83,-0.27,11.72,11.41,-0.31,12.09,8.7,-3.39,12.04,11.83,-0.21,35.85,31.94,-3.91,-4.30,-4.710619048,0,0,6,0,0,0,26,11.51410037,26,11.51410037,26,11.51410037,40,15.90541458,32,13.45434264,60,21.55824672,210,85.46030505,monocultures,-7.27,2.97,-0.41
15,14,xanthopterus,1,1,4,2024-05-29,6,4.12,3.86,-0.26,3.9,2.89,-1.01,4.08,4.15,0.07,4.21,4.25,0.04,4,3.25,-0.75,4.28,4.17,-0.11,4.11,4,-0.11,4.22,3.48,-0.74,4,4,0,12.44,12.11,-0.33,12.12,9.62,-2.5,12.36,12.32,-0.04,36.92,34.05,-2.87,-2.43,-2.436610738,0,0,6,0,0,0,65,22.89206748,55,20.19630948,75,25.48566367,45,17.37438278,28,12.17218441,30,12.81861019,298,110.939218,monocultures,-7.27,4.84,-0.67
16,15,xanthopterus,1,1,5,2024-05-31,11,4.13,3.86,-0.27,4.04,2.76,-1.28,3.86,3.75,-0.11,3.81,2.13,-1.68,4,0.39,-3.61,3.81,3.44,-0.37,3.93,3.79,-0.14,4,2.3,-1.7,4.27,4.07,-0.2,11.87,9.78,-2.09,12.04,5.45,-6.59,11.94,11.26,-0.68,35.85,26.49,-9.36,-9.09,-9.548709677,0,0,6,0,0,0,53,19.64295864,34,14.0802118,68,23.67999926,35,14.38967659,26,11.51410037,32,13.45434264,248,96.76128931,monocultures,-7.27,-1.82,0.25
17,16,spilurus,1,1,1,2024-05-21,4,4.14,3.49,-0.65,4.06,3.3,-0.76,3.96,3.9,-0.06,3.85,1.14,-2.71,3.92,3,-0.92,4.16,4.12,-0.04,4.1,3.6,-0.5,3.84,2.94,-0.9,4.19,4.09,-0.1,12.09,8.23,-3.86,11.82,9.24,-2.58,12.31,12.11,-0.2,36.22,29.58,-6.64,-5.64,-5.733515358,0,0,0,6,0,0,42,16.49821534,55,20.19630948,49,18.52025918,43,16.79195809,56,20.47109248,48,18.23605646,293,110.713891,monocultures,-7.13,1.49,-0.21
18,17,spilurus,1,1,2,2024-05-31,7,4.18,3.93,-0.25,4.05,4,-0.05,4.28,4.47,0.19,3.3,2.61,-0.69,4.2,0.44,-3.76,4.09,4.04,-0.05,4.09,3.58,-0.51,4,2.29,-1.71,3.94,3,-0.94,11.57,10.12,-1.45,12.25,6.73,-5.52,12.31,11.51,-0.8,36.13,28.36,-7.77,-6.26,-6.260541401,0,0,0,6,0,0,61,21.82716725,51,19.0843614,56,20.47109248,48,18.23605646,43,16.79195809,55,20.19630948,314,116.6069452,monocultures,-7.13,0.87,-0.12
19,18,spilurus,1,1,3,2024-06-02,7,3.82,3.2,-0.62,4,0.25,-3.75,3.81,3.85,0.04,3.87,3.94,0.07,3.79,0.63,-3.16,4.23,4.21,-0.02,4.17,4.19,0.02,4.12,0.26,-3.86,4.25,4.26,0.01,11.86,11.33,-0.53,11.91,1.14,-10.77,12.29,12.32,0.03,36.06,24.79,-11.27,-9.49,-9.60037037,0,0,0,6,0,0,48,18.23605646,66,23.15570199,41,16.20271871,48,18.23605646,40,15.90541458,54,19.92027455,297,111.6562227,monocultures,-7.13,-2.36,0.33
20,19,psittacus,1,1,1,2024-05-31,6,2.29,2.2,-0.09,2.25,1.67,-0.58,2.27,2.3,0.03,2.23,2,-0.23,2.26,2.08,-0.18,2.31,2.43,0.12,2.22,2.14,-0.08,2.3,1.61,-0.69,2.18,2.24,0.06,6.74,6.34,-0.4,6.81,5.36,-1.45,6.76,6.97,0.21,20.31,18.67,-1.64,-5.15,-5.607027027,0,0,0,0,6,0,43,16.79195809,31,13.13775838,NA,NA,NA,NA,NA,NA,NA,NA,74,29.92971647,monocultures,-2.06,-3.09,1.50
21,20,psittacus,1,1,2,2024-06-02,6,1.46,1.53,0.07,1.55,1.57,0.02,1.49,1.64,0.15,1.58,1.8,0.22,1.42,1.44,0.02,1.47,1.47,0,1.57,1.7,0.13,1.47,1.18,-0.29,1.64,1.65,0.01,4.61,5.03,0.42,4.44,4.19,-0.25,4.6,4.76,0.16,13.65,13.98,0.33,1.04,1.128243243,0,0,0,0,6,0,43,16.79195809,31,13.13775838,NA,NA,NA,NA,NA,NA,NA,NA,74,29.92971647,monocultures,-2.06,3.09,-1.50
22,21,unicorn,1,1,1,2024-05-31,12,2.29,1.96,-0.33,2.31,1.67,-0.64,2.23,2.23,0,2.3,1.63,-0.67,2.24,0.74,-1.5,2.23,2.21,-0.02,2.06,1.74,-0.32,2.2,0.95,-1.25,2.24,2.09,-0.15,6.65,5.33,-1.32,6.75,3.36,-3.39,6.7,6.53,-0.17,20.1,15.22,-4.88,-6.72,-5.993398058,0,0,0,0,0,6,22,10.15820588,49,18.52025918,135,39.60502816,NA,NA,NA,NA,NA,NA,206,68.28349321,monocultures,-7.78,1.07,-0.14
23,22,unicorn,1,1,2,2024-06-02,12,2.06,1.48,-0.58,2.11,1.37,-0.74,2.17,2.21,0.04,1.91,1.6,-0.31,2.29,0.61,-1.68,2.27,2.23,-0.04,2.22,0.38,-1.84,2.32,0.98,-1.34,1.88,1.94,0.06,6.19,3.46,-2.73,6.72,2.96,-3.76,6.32,6.38,0.06,19.23,12.8,-6.43,-8.85,-7.897038835,0,0,0,0,0,6,49,18.52025918,22,10.15820588,135,39.60502816,NA,NA,NA,NA,NA,NA,206,68.28349321,monocultures,-7.78,-1.07,0.14
24,23,6 species,6,1,1,2024-05-24,9,3.77,3.18,-0.59,4.26,0.78,-3.48,4.13,4.08,-0.05,4.18,3.53,-0.65,4.12,0.53,-3.59,4.22,4.29,0.07,3.75,3.34,-0.41,3.7,1.18,-2.52,4.26,4.61,0.35,11.7,10.05,-1.65,12.08,2.49,-9.59,12.61,12.98,0.37,36.39,25.52,-10.87,-8.89,-8.814455128,1,1,1,1,1,1,38,15.30515378,83,27.49847245,30,12.81861019,69,23.94069854,43,16.79195809,49,18.52025918,312,114.8751522,6 species,-10.38,1.48,-0.14
25,24,6 species,6,1,2,2024-05-27,9,3.72,2.69,-1.03,4.1,0.29,-3.81,4.27,4,-0.27,4.07,2.82,-1.25,4.07,0.39,-3.68,3.83,2.86,-0.97,3.91,2.89,-1.02,3.93,0.41,-3.52,3.77,3,-0.77,11.7,8.4,-3.3,12.1,1.09,-11.01,11.87,9.86,-2.01,35.67,19.35,-16.32,-14.93,-15.46426966,1,1,1,1,1,1,49,18.52025918,43,16.79195809,49,18.52025918,64,22.627417,30,12.81861019,32,13.45434264,267,102.7328463,6 species,-10.38,-4.56,0.44
26,25,6 species,6,1,3,2024-05-29,9,4.24,3.49,-0.75,4.17,0.35,-3.82,4.16,2.04,-2.12,4.05,1.79,-2.26,4.11,0.36,-3.75,4.12,1,-3.12,4.22,2,-2.22,4.22,2,-2.22,3.78,3,-0.78,12.51,7.28,-5.23,12.5,2.71,-9.79,12.06,6.04,-6.02,37.07,16.03,-21.04,-20.79,-21.55109312,1,1,1,1,1,1,74,25.2303799,40,15.90541458,55,20.19630948,43,16.79195809,13,6.846325042,22,10.15820588,247,95.12859297,6 species,-10.38,-10.41,1.00
27,26,3 species,3,1,1,2024-05-18,2,4.12,2.14,-1.98,4.15,0.96,-3.19,4.26,3.89,-0.37,4.23,3.29,-0.94,4,0.38,-3.62,4.25,3.13,-1.12,3.76,3.14,-0.62,4.15,0.64,-3.51,4.21,0.41,-3.8,12.11,8.57,-3.54,12.3,1.98,-10.32,12.72,7.43,-5.29,37.13,17.98,-19.15,-18.41,-19.22599206,2,2,2,0,0,0,40,15.90541458,31,13.13775838,49,18.52025918,26,11.51410037,74,25.2303799,32,13.45434264,252,97.76225504,3 species,-15.10,-3.32,0.22
28,27,3 species,3,1,2,2024-05-27,2,4.23,4.17,-0.06,4,0.42,-3.58,3.74,3.58,-0.16,4.21,3.57,-0.64,4.09,0.43,-3.66,4,3.85,-0.15,3.94,3.34,-0.6,3.81,0.3,-3.51,3.74,3.63,-0.11,12.38,11.08,-1.3,11.9,1.15,-10.75,11.48,11.06,-0.42,35.76,23.29,-12.47,-14.50,-15.93388889,2,2,0,2,0,0,16,8,21,9.809897532,49,18.52025918,61,21.82716725,23,10.50257707,28,12.17218441,198,80.83208544,3 species,-15.05,0.55,-0.04
29,28,3 species,3,1,3,2024-05-24,7,4.26,4,-0.26,3.92,0.4,-3.52,4.04,4.16,0.12,4.18,2.68,-1.5,4.1,0.5,-3.6,4.18,4.3,0.12,3.9,3.59,-0.31,3.95,1,-2.95,4.29,4.08,-0.21,12.34,10.27,-2.07,11.97,1.9,-10.07,12.51,12.54,0.03,36.82,24.71,-12.11,-11.85,-12.35415323,2,0,2,2,0,0,51,19.0843614,81,27,28,12.17218441,30,12.81861019,32,13.45434264,26,11.51410037,248,96.04359902,3 species,-9.82,-2.03,0.21
30,29,3 species,3,1,4,2024-06-04,1,4.27,1.41,-2.86,3.77,0.2,-3.57,3.42,2.39,-1.03,4.21,1.41,-2.8,3.77,0.2,-3.57,3.42,2.39,-1.03,3.84,1.64,-2.2,4.23,0.59,-3.64,4.21,1.68,-2.53,12.32,4.46,-7.86,11.77,0.99,-10.78,11.05,6.46,-4.59,35.14,11.91,-23.23,-24.64,-26.23745536,2,0,0,0,2,2,22,10.15820588,39,15.60624625,74,25.2303799,46,17.66315881,20,9.45741609,23,10.50257707,224,88.61798399,3 species,-8.30,-16.34,1.97
