,contrast,estimate,SE,df,t.ratio,p.value
1,control - 3 species,14.48,2.31,28.99,6.27,2.4E-05
2,control - 6 species,14.11,2.67,27.68,5.29,0.000388405
3,control - manini,13.68,2.28,27.11,6.01,6.33E-05
4,control - psittacus,0.80,3.02,25.70,0.26,0.999998983
5,control - spilurus,5.86,2.57,24.84,2.28,0.390822186
6,control - unicorn,6.52,3.02,25.70,2.16,0.458965729
7,control - velifer,21.94,2.06,24.44,10.65,3.81E-09
8,control - xanthopterus,6.16,2.18,24.87,2.82,0.159774998
9,3 species - 6 species,-0.38,2.81,27.90,-0.13,0.999999995
10,3 species - manini,-0.80,2.53,28.88,-0.31,0.999996039
11,3 species - psittacus,-13.69,3.33,28.99,-4.10,0.007918762
12,3 species - spilurus,-8.62,2.91,28.94,-2.96,0.115855939
13,3 species - unicorn,-7.96,3.33,28.99,-2.39,0.327915861
14,3 species - velifer,7.45,2.32,28.35,3.21,0.068765908
15,3 species - xanthopterus,-8.33,2.45,28.69,-3.39,0.045175067
16,6 species - manini,-0.42,2.97,28.99,-0.14,0.999999993
17,6 species - psittacus,-13.31,3.62,28.84,-3.67,0.023205007
18,6 species - spilurus,-8.24,3.24,28.86,-2.54,0.253255575
19,6 species - unicorn,-7.58,3.62,28.84,-2.09,0.496700135
20,6 species - velifer,7.83,2.65,25.23,2.96,0.122053946
21,6 species - xanthopterus,-7.95,2.78,26.35,-2.86,0.144621748
22,manini - psittacus,-12.89,3.31,27.95,-3.90,0.013950433
23,manini - spilurus,-7.82,2.79,26.07,-2.80,0.162102935
24,manini - unicorn,-7.16,3.31,27.95,-2.16,0.453903662
25,manini - velifer,8.25,2.35,27.38,3.52,0.03501806
26,manini - xanthopterus,-7.53,2.43,26.67,-3.10,0.088838038
27,psittacus - spilurus,5.07,3.38,23.94,1.50,0.844654234
28,psittacus - unicorn,5.73,3.63,22.62,1.58,0.806186047
29,psittacus - velifer,21.14,3.17,27.88,6.66,1.04E-05
30,psittacus - xanthopterus,5.36,3.24,27.63,1.65,0.768457237
31,spilurus - unicorn,0.66,3.38,23.94,0.20,0.999999899
32,spilurus - velifer,16.07,2.70,27.01,5.95,7.46E-05
33,spilurus - xanthopterus,0.29,2.78,26.53,0.11,0.999999999
34,unicorn - velifer,15.41,3.17,27.88,4.85,0.001199249
35,unicorn - xanthopterus,-0.37,3.24,27.63,-0.11,0.999999999
36,velifer - xanthopterus,-15.78,2.22,23.34,-7.12,8.57E-06
