"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Control - Bluespine Unicornfish",4.47284105380306,1.03658148119075,45.5931617696762,4.31499224611361,0.00154452137589622
"2","Control - Bullethead Parrotfish",1.9447444827818,0.45151038461949,46.9986987757647,4.30719768366065,0.00152551909080512
"3","Control - Convict Tang",2.10200914413806,0.523576368663053,46.4714229776214,4.01471355459667,0.00378868070866389
"4","Control - Palenose Parrotfish",1.8022385478318,0.579979934978315,46.6783450041462,3.10741534170348,0.0467596967714684
"5","Control - Sailfin tang",2.71751412093337,0.415093988412026,46.9336459672577,6.54674410325581,8.15205804971519e-07
"6","Control - Yellowfin Surgeonfish",1.5254118453381,0.434179147325171,46.152466016327,3.51332360095052,0.0161764025955226
"7","Bluespine Unicornfish - Bullethead Parrotfish",-2.52809657102127,1.02114776935773,42.2925372950628,-2.47574018852469,0.194139231907383
"8","Bluespine Unicornfish - Convict Tang",-2.370831909665,1.13917228729161,46.7478991716651,-2.08118818910323,0.380349461474761
"9","Bluespine Unicornfish - Palenose Parrotfish",-2.67060250597126,1.1645283091756,46.6613731667692,-2.29329118487625,0.268902144644291
"10","Bluespine Unicornfish - Sailfin tang",-1.7553269328697,1.09329592971129,46.8112439770569,-1.60553687722338,0.679469871377162
"11","Bluespine Unicornfish - Yellowfin Surgeonfish",-2.94742920846497,1.09888063441767,46.6588171244602,-2.6822105296513,0.125703384539545
"12","Bullethead Parrotfish - Convict Tang",0.157264661356266,0.641701237747688,45.5709345521546,0.245074580046394,0.999979901367435
"13","Bullethead Parrotfish - Palenose Parrotfish",-0.142505934949996,0.677547759158322,46.5729355132179,-0.210326036834691,0.999991897966822
"14","Bullethead Parrotfish - Sailfin tang",0.772769638151568,0.554594478787301,42.9173047950828,1.39339583733567,0.802244386330421
"15","Bullethead Parrotfish - Yellowfin Surgeonfish",-0.419332637443702,0.561963233105709,45.321802590783,-0.746192300030458,0.988707730611533
"16","Convict Tang - Palenose Parrotfish",-0.299770596306262,0.702792910706922,46.3811777275555,-0.426541861392327,0.999489124134841
"17","Convict Tang - Sailfin tang",0.615504976795302,0.52258491635608,41.4721155277794,1.17780853892061,0.89848268728144
"18","Convict Tang - Yellowfin Surgeonfish",-0.576597298799967,0.561170852457317,43.864399852303,-1.02748974982414,0.944762478318534
"19","Palenose Parrotfish - Sailfin tang",0.915275573101564,0.618061096111555,46.3372681132586,1.48088203392819,0.754404436207612
"20","Palenose Parrotfish - Yellowfin Surgeonfish",-0.276826702493706,0.615800060158523,44.8507680179066,-0.449539908168316,0.999307404963787
"21","Sailfin tang - Yellowfin Surgeonfish",-1.19210227559527,0.46541179245492,43.8366734130536,-2.56139250212647,0.163239047644336
